DEBUG_acc_threshold_horizontal
DEBUG_acc_threshold_vertical
DEBUG_APA_Adjust_Middle_flag
DEBUG_APA_Five_Second_flag
DEBUG_APA_forbid_two_step_flag
DEBUG_APA_running_error
DEBUG_b_c_point_replan
DEBUG_b_dunzi_flag
DEBUG_b_parking_done
DEBUG_esc_threshold
DEBUG_esc_torque_flag
Debug_f_tracking_end_x
Debug_f_tracking_end_y
Debug_f_tracking_end_yaw
DEBUG_g_b_APA_Parall_Replan_flag
DEBUG_g_b_outside_parking_pot_standstill
DEBUG_g_uint8_phase
DEBUG_horizion_parking_relpan_flag
DEBUG_horizontal_curb_distance
DEBUG_i_parking_out_direction
DEBUG_i_vehicle_type
DEBUG_in_slot_distance
DEBUG_init_i_gear_state
DEBUG_init_standstill
DEBUG_init_vehicle_pos_x
DEBUG_init_vehicle_pos_y
DEBUG_init_vehicle_yaw
DEBUG_m_b_emergence_stop
DEBUG_monitor_APA_g_obstacle_flag
DEBUG_monitor_APA_g_Step_DistanceToEnd
DEBUG_monitor_backup0
DEBUG_monitor_backup1
DEBUG_monitor_backup2
DEBUG_monitor_backup3
DEBUG_monitor_backup4
DEBUG_monitor_backup5
DEBUG_monitor_backup6
DEBUG_monitor_backup7
DEBUG_monitor_backup8
DEBUG_monitor_backup9
DEBUG_monitor_current_lead_index
DEBUG_monitor_dynamic_strategy
DEBUG_monitor_end_index
DEBUG_monitor_plan_status
DEBUG_monitor_pre_x
DEBUG_monitor_pre_y
DEBUG_monitor_start_relocation_dec
DEBUG_monitor_strategy
DEBUG_monitor_track_status
DEBUG_monitor_vehicle_x
DEBUG_monitor_vehicle_y
DEBUG_monitor_vehicle_yaw
DEBUG_monitor_x_final_avm
DEBUG_monitor_yaw_final_avm
DEBUG_obstacle_alarm_flag
DEBUG_park_out_lateral_distance
DEBUG_parking_point_offset
DEBUG_plan_i_gear_state
DEBUG_plan_standstill
DEBUG_plan_vehicle_pos_x
DEBUG_plan_vehicle_pos_y
DEBUG_plan_vehicle_yaw
DEBUG_RollingCountExit
DEBUG_RollingCountInit0
DEBUG_RollingCountPlan0
DEBUG_RollingCountTrack0
DEBUG_RollingCountUltra0
DEBUG_shuiping_dunzi_flag
DEBUG_target_acc
DEBUG_target_current_step
DEBUG_target_driveoffreq
DEBUG_target_gear
DEBUG_target_offset
DEBUG_target_path_x
DEBUG_target_path_y
DEBUG_target_path_yaw
DEBUG_target_progress_bar
DEBUG_target_speed
DEBUG_target_standstillreq
DEBUG_target_steer
DEBUG_target_stopdistance
DEBUG_target_total_step
DEBUG_total_parking_type
DEBUG_track_avm_left_distance
DEBUG_track_avm_left_rad
DEBUG_track_avm_relocation_flag
DEBUG_track_avm_right_distance
DEBUG_track_avm_right_rad
DEBUG_track_b_c_point_replan
DEBUG_track_brake_pedal
DEBUG_track_esc_torque
DEBUG_track_f_torsion_bar_torque
DEBUG_track_g_b_APA_stick_flag
DEBUG_track_i_gear_state
DEBUG_track_longtudinal_velocity
DEBUG_track_parking_stop_flag
DEBUG_track_real_standstill
DEBUG_track_RL_RC
DEBUG_track_RR_RC
DEBUG_track_standstill
DEBUG_track_steer_angle
DEBUG_track_suspend_flag
DEBUG_track_ultra_left_b
DEBUG_track_ultra_left_k
DEBUG_track_ultra_point_b_x
DEBUG_track_ultra_point_b_y
DEBUG_track_ultra_point_c_x
DEBUG_track_ultra_point_c_y
DEBUG_track_ultra_right_b
DEBUG_track_ultra_right_k
DEBUG_track_vehicle_acc_longtude
DEBUG_track_vehicle_pos_x
DEBUG_track_vehicle_pos_y
DEBUG_track_vehicle_yaw
DEBUG_ultra_current_step
DEBUG_ultra_distance_0
DEBUG_ultra_distance_1
DEBUG_ultra_distance_2
DEBUG_ultra_distance_3
DEBUG_ultra_distance_4
DEBUG_ultra_distance_5
DEBUG_ultra_distance_6
DEBUG_ultra_distance_7
DEBUG_ultra_distance_8
DEBUG_ultra_distance_9
